登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
99675366,義新鐵工廠股份有限公司,臺南市北區正風里公園路952巷23號,67000,67000340,正風里,公園路952巷23號,"29機械設備製造業,30汽車及其零件製造業,31其他運輸工具及其零件製造業,25金屬製品製造業,28電力設備及配備製造業"
99675368,允勝五金有限公司,臺南市安南區安東里安和路1段288巷150弄1號,67000,67000350,安東里,安和路1段288巷150弄1號,25金屬製品製造業
99675371,明楊印刷文具有限公司安南廠,臺南市安南區布袋里工明南二路60號,67000,67000350,布袋里,工明南二路60號,16印刷及資料儲存媒體複製業
99675375,宏奇工業社,臺南市安南區州南里州南十街129號1樓,67000,67000350,州南里,州南十街129號1樓,"22塑膠製品製造業,25金屬製品製造業"
99675376,聖代鐵工廠,臺南市北區文元里文賢路1030巷66弄7號,67000,67000340,文元里,文賢路1030巷66弄7號,29機械設備製造業
99675382,協成電鍍工廠,臺南市安南區安和里安和路1段118巷19號,67000,67000350,安和里,安和路1段118巷19號,25金屬製品製造業
99675391,偉訓科技股份有限公司,臺南市安南區安東里安和路2段54巷225號,67000,67000350,安東里,安和路2段54巷225號,"27電腦、電子產品及光學製品製造業,32家具製造業"
99675392,府城電梯工程有限公司,臺南市北區開元里北園街87巷30號,67000,67000340,開元里,北園街87巷30號,29機械設備製造業
99675393,建東鐵工廠,臺南市安南區安東里安和路1段368號,67000,67000350,安東里,安和路1段368號,"25金屬製品製造業,29機械設備製造業"
99675394,杜安金屬工業股份有限公司,臺南市北區文成里文賢路520巷17號,67000,67000340,文成里,文賢路520巷17號,25金屬製品製造業
99675398,明峰實業社,臺南市北區正覺里正覺街95號,67000,67000340,正覺里,正覺街95號,22塑膠製品製造業
99675406,新合吉米廠,臺南市南區新昌里西門路1段565號,67000,67000330,新昌里,西門路1段565號,08食品製造業
99675409,清鈺實業有限公司工廠,臺南市安南區安順里開安四街2號,67000,67000350,安順里,開安四街2號,28電力設備及配備製造業
99675412,明正飼料股份有限公司,臺南市南區彰南里中華西路1段39號,67000,67000330,彰南里,中華西路1段39號,08食品製造業
99675413,和明紡織股份有限公司,臺南市安南區州南里19鄰大聖路188號,67000,67000350,州南里,19鄰大聖路188號,"11紡織業,12成衣及服飾品製造業"
99675428,銘建股份有限公司,臺南市安南區淵西里本原街3段234巷107號,67000,67000350,淵西里,本原街3段234巷107號,14木竹製品製造業
99675442,復程實業有限公司第一廠,臺南市安南區安順里安和路4段36巷59號,67000,67000350,安順里,安和路4段36巷59號,21橡膠製品製造業
99675445,聖美企業股份有限公司,臺南市安南區安東里安和路1段478巷2弄52號,67000,67000350,安東里,安和路1段478巷2弄52號,"16印刷及資料儲存媒體複製業,22塑膠製品製造業"
99675448,東昇實業股份有限公司,臺南市安南區新順里安和路2段318巷63之1號,67000,67000350,新順里,安和路2段318巷63之1號,22塑膠製品製造業
99675450,泰吉橡膠股份有限公司,臺南市安南區安順里安和路4段36巷71號,67000,67000350,安順里,安和路4段36巷71號,"21橡膠製品製造業,22塑膠製品製造業"
99675451,朝偉實業股份有限公司,臺南市安南區州南里長和街2段140巷15弄2號1樓,67000,67000350,州南里,長和街2段140巷15弄2號1樓,"33其他製造業,31其他運輸工具及其零件製造業"
