登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
67002930,緯鳳興業有限公司西港廠,臺南市西港區慶安里中山路493之2號A棟1樓及B棟,67000,67000140,慶安里,中山路493之2號A棟1樓及B棟,08食品製造業
67002933,茁壯生物科技股份有限公司,臺南市永康區?行里鹽和街221號1樓、223號1樓,67000,67000310,?行里,鹽和街221號1樓、223號1樓,08食品製造業
67002957,禾夏食品有限公司,臺南市永康區?行里?和街166巷9號,67000,67000310,?行里,?和街166巷9號,"08食品製造業,09飲料製造業"
67002968,瑞牧食品股份有限公司,臺南市後壁區新嘉里白沙屯130之9號,67000,67000050,新嘉里,白沙屯130之9號,08食品製造業
67002970,皇吉寵物食品有限公司,臺南市善化區小新里小新營320之38、320之39號,67000,67000190,小新里,小新營320之38、320之39號,08食品製造業
67002986,津泓國際有限公司和順廠,臺南市安南區安順里開安四街18號,67000,67000350,安順里,開安四街18號,"08食品製造業,09飲料製造業"
67002989,香港商海天水產控股有限公司台灣分公司,臺南市學甲區豐和里麻學路三段77號,67000,67000130,豐和里,麻學路三段77號,08食品製造業
67002997,昱?國際實業有限公司,臺南市佳里區南勢里成功路150巷1號1樓,67000,67000120,南勢里,成功路150巷1號1樓,08食品製造業
67003000,玉井之門食品有限公司,臺南市玉井區三和里三和5之1號,67000,67000230,三和里,三和5之1號,08食品製造業
67003026,南縣區漁會水產品綜合加工廠,臺南市學甲區新榮里華宗路139號,67000,67000130,新榮里,華宗路139號,08食品製造業
67003027,聯昌中藥科技有限公司台南廠,臺南市安南區幸福里國安街55巷18號,67000,67000350,幸福里,國安街55巷18號,08食品製造業
67003031,均香有限公司,臺南市仁德區仁義里林頂街5之5號,67000,67000270,仁義里,林頂街5之5號,08食品製造業
67003036,首戶有限公司,臺南市仁德區仁義里林頂街33、35號,67000,67000270,仁義里,林頂街33、35號,08食品製造業
67003039,鴻仲寵物生技有限公司,臺南市南區彰南里新和一路1巷6之2號,67000,67000330,彰南里,新和一路1巷6之2號,08食品製造業
67003049,冠南生物科技有限公司二廠,臺南市麻豆區埤頭里麻學路一段145巷113號,67000,67000070,埤頭里,麻學路一段145巷113號,08食品製造業
67003063,隆穎國際有限公司台南新吉廠,臺南市安定區新吉里新吉六路27號,67000,67000210,新吉里,新吉六路27號,08食品製造業
67003106,泰吉軒實業有限公司仁德廠,臺南市仁德區一甲里忠義一街50號,67000,67000270,一甲里,忠義一街50號,08食品製造業
67003118,白龍國際有限公司,臺南市佳里區海澄里萊?寮1之96號1樓,67000,67000120,海澄里,萊?寮1之96號1樓,08食品製造業
67003121,大無界咖啡烘焙工廠有限公司,臺南市永康區尚頂里中正南路322巷1號,67000,67000310,尚頂里,中正南路322巷1號,08食品製造業
67003130,鑫冠茶葉有限公司,臺南市永康區王行里永科南路129號,67000,67000310,王行里,永科南路129號,08食品製造業
67003132,軒揚食品有限公司,臺南市下營區仁里里公園路181號B棟1.2樓,67000,67000080,仁里里,公園路181號B棟1.2樓,08食品製造業
67003138,兆商電子商務有限公司,臺南市永康區?行里正南五街239號2樓、3樓,67000,67000310,?行里,正南五街239號2樓、3樓,08食品製造業
67003158,永錀商行,臺南市仁德區仁德里林頂街15號,67000,67000270,仁德里,林頂街15號,08食品製造業
67003177,益佳元生物科技股份有限公司,臺南市新市區大營里豐榮188之6、之7、之8號,67000,67000200,大營里,豐榮188之6、之7、之8號,08食品製造業
67003178,永芳製麵廠,臺南市關廟區花園里園東街86巷13號1樓,67000,67000290,花園里,園東街86巷13號1樓,08食品製造業
67003180,安豐食品科技有限公司,臺南市南區彰南里新忠路19號1樓,67000,67000330,彰南里,新忠路19號1樓,08食品製造業
67003181,祿本產肉品有限公司,臺南市善化區小新里小新營318之21號,67000,67000190,小新里,小新營318之21號,08食品製造業
67003187,葛瑞特洋菜企業有限公司,臺南市麻豆區麻口里麻豆口1之57號1樓,67000,67000070,麻口里,麻豆口1之57號1樓,08食品製造業
67003200,珍泰興食品股份有限公司,臺南市學甲區新榮里東寮38之81號,67000,67000130,新榮里,東寮38之81號,08食品製造業
67003204,弘澤有限公司台南廠,臺南市仁德區土庫里大順路22號,67000,67000270,土庫里,大順路22號,08食品製造業
67003211,鴻仲生物科技有限公司新吉廠,臺南市安南區佃東里新吉一路138號,67000,67000350,佃東里,新吉一路138號,08食品製造業
67003225,華順食品行,臺南市新營區中營里東山三路51之1號,67000,67000010,中營里,東山三路51之1號,08食品製造業
67003247,沛富生物科技股份有限公司,臺南市西港區港東里八份102號,67000,67000140,港東里,八份102號,08食品製造業
67003251,忠鴻興食品有限公司,臺南市新營區南興里建業路43號C棟1樓,67000,67000010,南興里,建業路43號C棟1樓,08食品製造業
67003252,尚品食品有限公司,臺南市永康區蔦松里正北一路147巷7號,67000,67000310,蔦松里,正北一路147巷7號,08食品製造業
67003253,永昌泰實業有限公司新營廠,臺南市新營區中營里東華街57號,67000,67000010,中營里,東華街57號,08食品製造業
67003274,全宏生物科技股份有限公司分廠,臺南市安定區中沙里中崙180號,67000,67000210,中沙里,中崙180號,08食品製造業
67003280,枋香實業股份有限公司,臺南市鹽水區橋南里治水路73巷142弄123號,67000,67000020,橋南里,治水路73巷142弄123號,08食品製造業
67003286,新譯漢方有限公司,臺南市新市區大營里豐榮176之18號,67000,67000200,大營里,豐榮176之18號,08食品製造業
99656217,臺南市佳里區農會飼料加工廠,臺南市佳里區六安里六安95之2號,67000,67000120,六安里,六安95之2號,08食品製造業
99656225,臺南蛋品股份有限公司關廟廠,臺南市關廟區埤頭里關新路二段387號,67000,67000290,埤頭里,關新路二段387號,08食品製造業
99656252,西港區農會加工廠,臺南市西港區竹林里大竹林183號,67000,67000140,竹林里,大竹林183號,08食品製造業
99656290,辰?股份有限公司,臺南市新營區嘉芳里五福路134號,67000,67000010,嘉芳里,五福路134號,08食品製造業
99656316,隆佑興業股份有限公司,臺南市仁德區保安里保安工業區開發七路5號,67000,67000270,保安里,保安工業區開發七路5號,08食品製造業
99656319,台灣佳慶綜合股份有限公司,臺南市永康區王行里環工路52號,67000,67000310,王行里,環工路52號,"08食品製造業,12成衣及服飾品製造業"
99656355,台灣糖業股份有限公司善化糖廠,臺南市善化區溪美里310號,67000,67000190,溪美里,310號,08食品製造業
99656360,中英實業股份有限公司,臺南市官田區二鎮里實踐街6號,67000,67000100,二鎮里,實踐街6號,08食品製造業
99656392,年冠實業股份有限公司第一廠,臺南市新營區嘉芳里忠孝路53號,67000,67000010,嘉芳里,忠孝路53號,08食品製造業
99656435,台灣百事食品股份有限公司,臺南市新市區永就里中山路181號,67000,67000200,永就里,中山路181號,08食品製造業
99656437,新農科技股份有限公司,臺南市官田區二鎮里富強路27號,67000,67000100,二鎮里,富強路27號,08食品製造業
99656444,小淺雅瑪珂股份有限公司,臺南市麻豆區麻口里麻豆口1之30號﹝6樓﹞,67000,67000070,麻口里,麻豆口1之30號﹝6樓﹞,08食品製造業
99656450,台灣糖業股份有限公司新營副產加工廠食品工場,臺南市柳營區人和里義士路5段690號食品廠區,67000,67000040,人和里,義士路5段690號食品廠區,"08食品製造業,09飲料製造業"
99656476,大成長城企業股份有限公司永康一廠,臺南市永康區蔦松里蔦松二街3號,67000,67000310,蔦松里,蔦松二街3號,"08食品製造業,18化學材料及肥料製造業"
99656480,新功藥品工業有限公司,臺南市新營區大宏里同濟街87號,67000,67000010,大宏里,同濟街87號,"20藥品及醫用化學製品製造業,08食品製造業"
99656482,大成長城企業股份有限公司柳營肉品廠,臺南市柳營區士林里長榮路六段501號柳營肉品廠區,67000,67000040,士林里,長榮路六段501號柳營肉品廠區,08食品製造業
99656495,豐年豐和企業股份有限公司仁德廠,臺南市仁德區文賢里中正路1段370號,67000,67000270,文賢里,中正路1段370號,08食品製造業
99656497,豐年豐和企業股份有限公司上崙一廠,臺南市仁德區上崙里崑崙路201號,67000,67000270,上崙里,崑崙路201號,08食品製造業
99656499,豐年豐和企業股份有限公司三甲廠,臺南市仁德區文賢里中正路1段368號,67000,67000270,文賢里,中正路1段368號,08食品製造業
99656500,豐年豐和企業股份有限公司上崙二廠,臺南市仁德區上崙里崑崙路203號,67000,67000270,上崙里,崑崙路203號,08食品製造業
99656501,豐年豐和企業股份有限公司三甲子廠,臺南市仁德區文賢里中正路1段366號、370之1號、372號,67000,67000270,文賢里,中正路1段366號、370之1號、372號,08食品製造業
99656502,南寶國際生物科技股份有限公司,臺南市西港區慶安里中山路491號,67000,67000140,慶安里,中山路491號,08食品製造業
99656524,豐盟企業股份有限公司中洲廠,臺南市仁德區中洲里中洲五街289號,67000,67000270,中洲里,中洲五街289號,08食品製造業
99656693,天一藥廠股份有限公司,臺南市官田區二鎮里工業路31號,67000,67000100,二鎮里,工業路31號,"20藥品及醫用化學製品製造業,08食品製造業"
99656729,統一企業股份有限公司永康食品廠,臺南市永康區?行里中正路301號A區,67000,67000310,?行里,中正路301號A區,08食品製造業
99656739,正明食品有限公司新營廠,臺南市新營區民生里長榮路2段977號,67000,67000010,民生里,長榮路2段977號,08食品製造業
99656740,晶鈺食品股份有限公司二廠,臺南市佳里區頂?里頂?1之17號1樓、2樓後段、3樓,67000,67000120,頂?里,頂?1之17號1樓、2樓後段、3樓,08食品製造業
